190426_coupler_test De-Embedded Nominal: tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
2,-29.6508
3,-26.3451
4,-24.1584
5,-22.637
6,-21.5859
7,-20.9078
8,-20.5521

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
2,-29.6508
3,-26.3451
4,-24.1584
5,-22.637
6,-21.5859
7,-20.9078
8,-20.5521

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=100.0
Frequency GHz, DB[S13]
2,-59.38
3,-55.8587
4,-53.3606
5,-51.4232
6,-49.8405
7,-48.5026
8,-47.3439

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=200.0
Frequency GHz, DB[S13]
2,-53.7358
3,-50.2151
4,-47.7178
5,-45.7814
6,-44.1999
7,-42.8635
8,-41.7064

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=300.0
Frequency GHz, DB[S13]
2,-50.3382
3,-46.8184
4,-44.3223
5,-42.3876
6,-40.8082
7,-39.4741
8,-38.3198

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=400.0
Frequency GHz, DB[S13]
2,-47.9019
3,-44.3834
4,-41.8891
5,-39.9567
6,-38.3801
7,-37.0494
8,-35.899

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=500.0
Frequency GHz, DB[S13]
2,-46.0019
3,-42.485
4,-39.9931
5,-38.0636
6,-36.4906
7,-35.1642
8,-34.0188

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=600.0
Frequency GHz, DB[S13]
2,-44.4445
3,-40.9296
4,-38.4405
5,-36.5147
6,-34.9461
7,-33.625
8,-32.4856

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=700.0
Frequency GHz, DB[S13]
2,-43.1251
3,-39.6126
4,-37.1268
5,-35.2053
6,-33.642
7,-32.3271
8,-31.195

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=800.0
Frequency GHz, DB[S13]
2,-41.9807
3,-38.4709
4,-35.9889
5,-34.0724
6,-32.5152
7,-31.2075
8,-30.0838

190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=900.0
Frequency GHz, DB[S13]
